Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2019-08-01,0.3184761214,0.3178553061,0.3238122513,0.315828373
XRP,2019-08-02,0.3166662757,0.3184301872,0.3205025714,0.312183079
XRP,2019-08-03,0.3124476322,0.3166339643,0.3182901384,0.3091321326
XRP,2019-08-04,0.3157491031,0.3124864926,0.3179844427,0.3113342397
XRP,2019-08-05,0.3195978689,0.3157678085,0.3232728794,0.3124076337
XRP,2019-08-06,0.3229683765,0.3196196047,0.3313832784,0.3192595742
XRP,2019-08-07,0.3093273099,0.3230018624,0.3244311082,0.3076466267
XRP,2019-08-08,0.3113157474,0.3093885386,0.3160979183,0.3068372315
XRP,2019-08-09,0.3060717635,0.311307218,0.3119876436,0.3037680035
XRP,2019-08-10,0.2944106426,0.3078573562,0.3086464295,0.2894860455
XRP,2019-08-11,0.2983637503,0.294410233,0.305277995,0.2917803971
XRP,2019-08-12,0.3028242224,0.2982941225,0.3056481404,0.2946234596
XRP,2019-08-13,0.3007079133,0.3028709475,0.3048667184,0.2979276524
XRP,2019-08-14,0.2947307147,0.3007030614,0.3007963346,0.2920419859
XRP,2019-08-15,0.2699924898,0.2970308282,0.2975697671,0.2455101751
XRP,2019-08-16,0.2669333868,0.2699763665,0.2699969358,0.2590557784
XRP,2019-08-17,0.2617925305,0.2642108063,0.2651254054,0.2547844944
XRP,2019-08-18,0.2658408855,0.2618644924,0.2695857352,0.2584248936
XRP,2019-08-19,0.2845588798,0.2656716986,0.2922155824,0.2636956306
XRP,2019-08-20,0.2815218131,0.2845370957,0.2906202558,0.2764132873
XRP,2019-08-21,0.274716037,0.2815961705,0.283373634,0.2701522138
XRP,2019-08-22,0.2651151001,0.2747375985,0.274859793,0.258136745
XRP,2019-08-23,0.2727402038,0.2651292914,0.2743507655,0.2603756379
XRP,2019-08-24,0.276760108,0.2708747025,0.2785032077,0.2679263649
XRP,2019-08-25,0.2723914873,0.2771926635,0.2777817363,0.2644600669
XRP,2019-08-26,0.2689095345,0.2723504112,0.2763293614,0.2662532547
XRP,2019-08-27,0.2696557272,0.2698272429,0.2802197603,0.2669375535
XRP,2019-08-28,0.2685316361,0.269629154,0.2704580557,0.2648994204
XRP,2019-08-29,0.2576154969,0.2694426372,0.2695297912,0.2470443285
XRP,2019-08-30,0.2570620265,0.2576503141,0.2626740079,0.2475495774
XRP,2019-08-31,0.2555895671,0.2569677183,0.2574418846,0.2525903028
XRP,2019-09-01,0.2591909498,0.2557869907,0.2606898351,0.2533752695
XRP,2019-09-02,0.2574157074,0.2591887313,0.2593172856,0.2509731599
XRP,2019-09-03,0.2623984407,0.257440536,0.2652058692,0.2539083883
XRP,2019-09-04,0.2650834951,0.2618585034,0.2678037214,0.2588399442
XRP,2019-09-05,0.2590216613,0.2650692632,0.2653899931,0.2566748621
XRP,2019-09-06,0.2566674522,0.2590397613,0.2597364744,0.2540296767
XRP,2019-09-07,0.2517572271,0.2566719226,0.2595784371,0.2476595445
XRP,2019-09-08,0.2615971068,0.2517225718,0.2636281463,0.2507295606
XRP,2019-09-09,0.2628972205,0.2607236147,0.2664658944,0.2565851237
XRP,2019-09-10,0.2590966594,0.2628664645,0.2645170878,0.2567260107
XRP,2019-09-11,0.2577752283,0.2591184991,0.2637677575,0.2536323281
XRP,2019-09-12,0.2549246681,0.258624055,0.2606732512,0.2513894765
XRP,2019-09-13,0.2550267363,0.2549303816,0.2570590737,0.2512344067
XRP,2019-09-14,0.2552843415,0.2550221038,0.2563274065,0.2524626787
XRP,2019-09-15,0.2625665724,0.2552940484,0.2653504001,0.2545301694
XRP,2019-09-16,0.2593456692,0.2617163162,0.2642848691,0.2589291238
XRP,2019-09-17,0.261730374,0.2593455298,0.2629325202,0.2565584337
XRP,2019-09-18,0.2897551763,0.2617510439,0.2989672264,0.2602080463
XRP,2019-09-19,0.3183236316,0.2897480255,0.3269665947,0.2844829574
XRP,2019-09-20,0.3008240214,0.3139872421,0.3139872421,0.2832678888
XRP,2019-09-21,0.2903328906,0.3008460687,0.303353912,0.2838059656
XRP,2019-09-22,0.2883914936,0.2903389728,0.297877634,0.286521702
XRP,2019-09-23,0.2780221314,0.2883898808,0.2902300115,0.2690409634
XRP,2019-09-24,0.2696271179,0.2780222397,0.2867849768,0.2668552335
XRP,2019-09-25,0.2390345963,0.2694059671,0.2729346779,0.2184973576
XRP,2019-09-26,0.2468320541,0.2342545385,0.2501245325,0.2323961783
XRP,2019-09-27,0.2453189844,0.2468601712,0.2504069368,0.2292040347
XRP,2019-09-28,0.2422545943,0.2453408374,0.2475761128,0.2333350726
XRP,2019-09-29,0.2412442581,0.2427223174,0.2448747918,0.2384907997
XRP,2019-09-30,0.2409491952,0.2412536994,0.2427113235,0.2348799366
XRP,2019-10-01,0.2550236785,0.2405580917,0.2620523449,0.235702811
XRP,2019-10-02,0.2511508034,0.2572053149,0.261325608,0.2453405562
XRP,2019-10-03,0.2508723872,0.2511652027,0.2551869127,0.2449741392
XRP,2019-10-04,0.2486262578,0.2508723142,0.2539554806,0.2422910217
XRP,2019-10-05,0.2532895987,0.2472829321,0.2568337039,0.245091907
XRP,2019-10-06,0.2533462647,0.2532892362,0.2567732783,0.2469214324
XRP,2019-10-07,0.2530735565,0.2538972439,0.2567015177,0.2513152787
XRP,2019-10-08,0.2763270532,0.2530819114,0.2815625366,0.2528617381
XRP,2019-10-09,0.2770313562,0.2763450966,0.2857592929,0.2711033828
XRP,2019-10-10,0.2811406059,0.2777780655,0.2874216659,0.2738309758
XRP,2019-10-11,0.272287996,0.2811200706,0.2825157538,0.2652733464
XRP,2019-10-12,0.2678140949,0.2722928095,0.2756589061,0.2648571322
XRP,2019-10-13,0.2737799599,0.2678084249,0.2772982853,0.2661667248
XRP,2019-10-14,0.2785200635,0.2726144081,0.2817759578,0.2715652378
XRP,2019-10-15,0.2950301091,0.2785227048,0.2957271933,0.2765536538
XRP,2019-10-17,0.2845001589,0.2884255239,0.2920311523,0.2786178162
XRP,2019-10-18,0.3001964314,0.2844976961,0.3033816214,0.2799076836
XRP,2019-10-19,0.2939614645,0.3001612897,0.3030575751,0.2844024629
XRP,2019-10-20,0.2908883321,0.2940909198,0.2991664515,0.2873709944
XRP,2019-10-21,0.2941514213,0.2908885243,0.2964254286,0.2814695079
XRP,2019-10-22,0.2919197072,0.2942180406,0.294344683,0.2885128514
XRP,2019-10-23,0.2898292207,0.2918945697,0.302888775,0.2890900618
